A,B,C,D,E,F,G,H
5.496714153,4.584629258,5.929344832,4.288105488,3.365015107,6.026177548,5.656988617,4.772732375
4.861735699,5.579354677,6.172941432,4.583800856,4.260562479,7.00941664,3.977834676,6.658811071
5.647688538,5.657285483,6.799661492,6.022022966,4.80471933,3.701432426,5.76960592,4.554787571
6.523029856,5.197722731,6.764562462,5.871407292,4.842282534,5.662969237,6.255637859,3.709846444
4.765846625,5.838714288,3.846796758,5.177008247,4.394941076,4.449357431,5.313434903,3.532044992
4.765863043,6.404050857,4.374609952,5.329060122,5.360564939,4.612874616,6.776795813,6.127211942
6.579212816,7.886185901,6.118042321,6.605431385,3.839141614,4.507606076,4.126210801,3.863484777
5.767434729,6.174577813,6.116543141,4.549271472,4.671858463,4.23600923,3.655345297,7.505753018
4.530525614,6.257550391,6.118057224,5.801807119,4.908266069,5.148521628,3.121279751,2.901684711
5.542560044,5.925554084,10.12327779,4.977588082,5.262994951,4.269049884,6.396044311,7.435747642
4.536582307,4.081228785,6.185068613,4.960550676,5.44045339,5.370456826,5.554365656,5.653220961
4.534270246,5.973486125,6.862678768,6.408654537,3.787822117,5.049761891,4.844415329,5.283944266
5.241962272,6.06023021,6.644802116,6.107957984,3.419297246,4.861051953,5.179968626,4.746097096
3.086719755,8.463242112,6.281669502,6.0948606,5.94990914,4.192436338,3.774510953,5.878963337
3.275082167,5.807639035,5.121676906,6.636026688,5.099082611,4.523228669,7.34575198,5.354838357
4.437712471,6.301547342,6.410763065,5.223104226,4.126362117,5.855391226,5.029221182,6.723962258
3.98716888,5.96528823,4.572609743,5.950148268,6.196036778,5.600917188,5.009394795,5.537073178
5.314247333,4.831321962,5.215817672,4.858706568,4.904107171,4.122444755,5.625766624,5.580362114
4.091975924,7.142822815,4.917563743,5.556582988,5.861367466,5.199332305,5.381009232,4.963665345
3.587696299,6.751933033,5.598248967,5.05684264,4.860766633,5.851387123,5.123884024,5.331665252
6.465648769,6.791031947,8.27759028,5.306695561,6.654673132,3.430594719,4.109525545,5.769362123
4.7742237,5.090612545,3.259281769,5.854672728,6.379806758,5.643360192,5.371468357,3.347797929
5.067528205,7.402794311,6.323512228,4.299957248,4.575932266,4.437376241,6.782024496,3.782177493
3.575251814,4.598148937,3.564740955,7.501626003,5.674413856,5.670598669,6.245420046,6.291916913
4.455617275,6.586857094,4.933681761,4.09338088,5.380838355,4.336740843,6.493186627,5.605038526
5.11092259,8.190455626,6.806740716,3.864392526,6.031768402,3.295117899,4.388784324,5.179219996
3.849006423,5.009463675,5.577136023,6.473921961,3.931568885,3.472457562,3.91039518,5.42212072
5.375698018,5.43370227,4.206706266,6.070828963,5.417446314,5.148084947,4.77421308,5.817098046
4.39936131,6.099651365,4.641635549,5.886531799,5.752582038,5.359722502,4.955724912,4.752288384
4.70830625,5.496524346,6.315517299,5.89118006,3.217134462,4.195683375,5.994191518,4.46603433
4.398293388,4.449336569,4.623560042,5.18652855,3.735067339,5.738592459,3.20753537,5.635014306
6.852278185,6.068562975,5.759750307,4.213020191,2.96469104,3.438479938,6.429550319,4.225952667
4.986502775,4.937696286,5.554686208,5.283385014,4.557533849,5.033920201,4.741992101,5.889903307
3.942289071,6.473592431,4.718079583,4.455122117,5.44578803,3.8889838,4.47311893,3.356899675
5.822544912,5.080575766,8.072732907,6.272631707,6.152121347,4.448163892,3.887895625,6.634986765
3.77915635,7.549934405,6.260702827,5.03823688,4.866685302,5.147398671,3.245143328,5.967116979
5.208863595,5.216746708,3.069828896,4.291953084,6.265753991,4.239586635,5.723170584,5.707235681
3.040329876,5.677938484,5.723745178,4.846475574,3.557908688,4.715444456,4.973317967,6.579229181
3.671813951,6.813517217,4.705856242,5.6542246,3.266955805,6.106292809,3.6100391,7.398569333
5.196861236,4.769135684,6.522920002,4.579902992,4.750007071,4.52310813,3.604921228,6.617244078
5.73846658,6.227459935,4.548975114,4.295557565,5.145658904,5.935692112,4.564215301,3.190950922
5.171368281,7.307142754,5.36231627,5.468055933,4.770574727,3.970293145,6.569021525,3.86450764
4.884351718,4.392516765,6.105984735,5.469463228,2.93930211,5.629804178,4.640408649,4.650217707
4.698896304,6.184633859,6.538906233,4.642362507,4.719791964,6.541568621,3.396857047,5.43130926
3.52147801,6.259882794,4.059644312,4.681857864,3.62597745,2.6283555,4.654256936,6.021190825
4.280155792,6.781822872,5.098598517,5.455254931,5.402705294,4.303104745,4.62727643,4.529107424
4.539361229,4.763049289,4.930065627,3.607107224,5.129938421,5.677072127,2.203113357,5.624120117
6.057122226,4.679543387,4.716004921,3.651789848,3.954108192,4.896954614,4.845705133,4.493540481
5.34361829,6.521941566,7.618545088,4.409711357,4.337519774,5.471145873,4.66906547,4.666178636
3.236959845,6.296984673,5.985978053,4.965208133,3.84670783,4.496014813,5.596206365,3.712006684
5.324083969,6.25049285,3.986939255,5.541998322,4.743588812,5.186589787,6.748956095,4.292120105
4.61491772,6.346448209,6.601434336,6.822891839,5.659628088,4.944322765,6.02656503,3.777978473
4.323078,5.319975278,8.046587436,6.143425586,3.912846558,6.267782062,4.631111309,4.228952096
5.611676289,6.232253697,6.738958313,5.024067617,5.253641864,5.354420843,3.793474091,6.664370156
6.030999522,6.293072473,3.676756041,5.179082171,4.322768143,5.437602662,7.473359803,4.260721333
5.931280119,5.285648582,4.918919113,4.097217699,4.086414451,4.688123034,4.959218434,8.558858478
4.160782477,7.865774511,7.020293379,5.17963555,4.703672676,4.612393776,4.913929292,5.991981481
4.690787624,6.473832921,4.650796641,4.882475497,3.86828191,4.667441812,4.875874913,5.621803348
5.331263431,4.808696503,6.032583314,5.554990416,4.301715625,5.494452142,5.098084761,4.369970664
5.975545127,6.656553609,6.429560864,4.290045962,3.721909897,4.679015519,4.755639588,6.240371855
4.520825762,5.02531833,4.387683434,5.771281166,6.56825262,5.389774857,4.326337993,4.709234609
4.814341023,6.787084604,5.428569573,6.886012804,4.831737197,7.175400799,4.353141059,5.546411778
3.893665026,7.158595579,1.610479192,5.080363837,4.170247043,5.971124703,4.86724673,8.472101446
3.803793376,5.179317682,4.27073483,5.641882894,4.99258192,4.773976468,4.356575229,5.28472812
5.812525822,6.963376129,5.196918218,5.959158391,4.698904755,6.301213922,4.187154217,6.779127992
6.356240029,6.412780927,4.002660182,4.758657481,4.60112736,4.691924627,5.006430228,4.55618829
4.927989878,6.82206016,7.458893565,5.44650173,5.35275003,3.061875465,4.645022783,5.358013811
6.003532898,7.896792983,3.783830346,5.213851641,5.481756939,4.091913689,6.403992989,7.524960763
5.361636025,5.754611884,4.971946616,5.307443708,4.322548967,3.229208079,2.249030192,4.647639531
4.354880245,5.246263836,5.656888693,4.349689238,4.281763583,4.748486516,5.991506852,7.57493827
5.361395606,5.11048557,7.229527947,5.226961192,4.552453473,5.118418379,6.146085192,6.249302323
6.538036566,5.184189715,3.776965419,5.74779812,2.728270952,6.776437312,2.826609768,4.725039869
4.964173961,5.922898291,6.895796503,6.796257969,3.436328044,5.426927374,4.557312406,6.158889287
6.564643656,6.341151975,5.512279673,6.255197909,6.030186841,4.880899471,4.528559134,6.56706534
2.380254896,6.276690799,4.322189619,7.568500703,6.280470942,5.929405581,3.492488305,6.146171955
5.821902504,6.827183249,6.054524169,4.355917681,4.575867564,2.888864691,4.122183312,3.515730336
5.087047068,6.013001892,5.738871635,6.1595527,5.318901267,5.335614558,3.789424155,4.527435389
4.70099265,7.453534077,4.779739747,5.401676206,5.080125139,5.870865194,6.652270443,5.102977637
5.091760777,5.735343167,5.583762502,7.608783227,7.570992728,3.621413754,5.835678393,5.310679885
3.012431085,8.720169167,5.037623684,4.310871886,5.80761742,6.243754043,6.171555095,6.144806517
4.780328112,6.625667348,5.636220814,4.276305974,4.684874168,5.438496407,5.621672064,5.613241201
5.357112572,5.142842444,6.294556809,4.54066809,3.940013603,4.684712086,3.770948229,3.79758677
6.477894045,4.929107502,7.403220179,2.863714703,3.354198312,5.732781866,4.375479734,5.856237421
4.481729782,6.482472415,4.014621401,4.621669476,4.983117272,7.370692858,5.389374561,6.132702894
4.191506397,5.776537215,8.05964005,4.364954072,4.119284329,5.281866255,3.677872191,6.071748538
4.498242956,6.714000494,3.157494641,5.365433165,3.519971661,5.348220586,5.61299843,6.696936871
5.915402118,6.473237625,5.317857886,5.575931573,4.218084404,4.6406391,4.659674602,6.400706585
5.32875111,5.927171087,6.205980648,7.263787923,3.826606797,4.250155631,4.525179192,5.951016095
4.470239796,5.153206282,5.837190241,6.245466222,6.318427472,5.930335817,5.610959968,5.315801146
5.513267433,4.485152775,4.752760576,4.565405979,5.593475781,4.243916174,5.344263311,3.40684688
5.097077549,5.553485048,5.2502533,4.211743862,4.792824623,5.171566237,4.539033834,5.915541863
5.968644991,6.856398794,4.908398878,5.741111089,6.131949725,4.622342553,6.059329803,5.649225225
4.297946906,6.214093744,4.792762292,3.747743472,4.869631477,5.578979826,3.818936672,5.725894605
4.672337853,4.754261221,6.519522516,7.214604642,4.024844219,5.433662105,5.515935607,3.867901709
4.607891847,6.173180926,5.928418583,6.497384133,6.17081167,6.137539944,5.493101258,4.102732152
3.536485052,6.38531738,4.668508486,4.683906783,5.285019039,4.589983601,4.590453561,6.663783424
5.296120277,5.116142564,6.579519851,3.315552018,3.866478461,4.830125065,5.226133022,5.352533815
5.261055272,6.153725106,5.868759425,6.689259612,4.62869519,4.121236284,3.648886424,6.217800837
5.005113457,6.058208718,6.475434543,5.07400617,4.011943572,4.65570674,5.824027019,5.433982051
4.765412867,4.857029702,6.25555461,6.561597943,3.555480242,5.477300493,4.715097864,5.435707367
